X_nm,Y_nm,Z_display,Layer,Sampled_Reconstruction_Intensity_au,Source
9.77925226879548,7.023778526039953,7.811276387760976,1,14.0,intensity-weighted sampled reconstruction pixel
6.5161045133895605,7.541689624925191,7.781594275678034,1,100.0,intensity-weighted sampled reconstruction pixel
8.07278982603217,6.965971652307798,7.862972578071974,1,24.0,intensity-weighted sampled reconstruction pixel
8.990176379281078,6.7730585426508725,8.118058736611642,1,0.0,intensity-weighted sampled reconstruction pixel
7.547936818934811,6.173858210752807,8.225772492153515,1,0.0,intensity-weighted sampled reconstruction pixel
8.958625990997284,6.425639373135726,8.197122040526372,1,0.0,intensity-weighted sampled reconstruction pixel
8.065644965982282,7.076293939948368,8.001940903547373,1,9.0,intensity-weighted sampled reconstruction pixel
8.123894537015474,6.409385558328228,8.01463897365785,1,39.0,intensity-weighted sampled reconstruction pixel
8.402426897873411,8.662646351470253,7.914707521756488,1,27.0,intensity-weighted sampled reconstruction pixel
9.141899123464368,9.001576632556182,8.126012141773321,1,0.0,intensity-weighted sampled reconstruction pixel
8.75452337495339,7.945619759696003,8.121788076449018,1,18.0,intensity-weighted sampled reconstruction pixel
8.997127938566733,7.661350895101866,8.158365284487925,1,112.0,intensity-weighted sampled reconstruction pixel
5.8305800644831765,8.357008422247912,8.181932105510567,1,152.0,intensity-weighted sampled reconstruction pixel
9.222206345529456,9.783008963717236,7.969800654183636,1,0.0,intensity-weighted sampled reconstruction pixel
