atom_id,x_px,y_px,x_nm,y_nm,manual_atom_class,integrated_intensity,peak_height,local_background,local_normalized_intensity,overlay_to_peak_shift_px,nearest_neighbor_distance_px,local_pt_fraction,local_alternation_metric,smoothed_order_metric,spatial_region,lattice_i,lattice_j,parity_i_plus_j,lattice_fit_residual_px,expected_column_from_110,pt_probability_from_intensity,intensity_confidence,audited_column_label,display_label
310,920.8844329546326,968.0048493766903,10.487477584508683,11.024107690648606,Pt-like,5039.0,157.0,0.0,1.1074725274725274,2.105221634463747,20.20508783316635,0.3904854669486026,0.75,0.5603622923606963,liquid-metal,,,,,,,,,amorphous liquid-metal
311,421.3703101223471,762.7303318884117,4.798769013834872,8.68634214288935,LM-like,4929.0,124.0,0.0,0.8665611814345991,2.1069915685859426,19.49014202198013,0.530973716484714,0.6666666666666666,0.6260814691046822,ordered-intermetallic,-12.0,13.0,1.0,0.3410101297497425,Pt+Ga mixed projected column,0.007935415465107272,0.9920645845348928,Pt+Ga mixed projected column,Pt+Ga mixed projected column
312,56.25861296492664,899.7249097641848,0.6407003108003289,10.246502694264615,Pt-like,4969.5,129.5,4.5,1.0209553158705702,2.122110800068654,19.810218110001426,0.4699820284905651,0.6666666666666666,0.6292423199969457,liquid-metal,,,,,,,,,amorphous liquid-metal
313,854.0541069784107,690.4349568619741,9.726381489755212,7.863007424741535,Pt-like,5683.0,182.0,0.0,0.9920572575717902,2.1277060685258915,19.8437299149644,0.5179043559225147,0.6666666666666666,0.5756943777894097,Pt-rich,,,,,,,,,Pt-rich region
314,432.3477019278112,849.9911346762948,4.923784864224262,9.680110394903272,Pt-like,5538.0,145.0,0.0,1.0586885872682088,2.133461470966457,19.80089425319707,0.466399893305138,0.6666666666666666,0.6253071048200229,ordered-intermetallic,-9.0,15.0,0.0,0.8966823875289016,Pt-rich projected column,0.880695338709455,0.880695338709455,Pt-rich projected column,Pt-rich projected column
315,844.2404083153665,636.8962104746619,9.614618340040998,7.253282270806508,LM-like,4869.0,166.0,0.0,0.866293034427542,2.1378831201134854,18.063304280295863,0.5800586931487844,0.6666666666666666,0.5221017146052971,Pt-rich,,,,,,,,,Pt-rich region
316,958.8864079026496,842.768379332288,10.920262466272478,9.597854161593274,LM-like,4696.0,166.0,0.0,0.902036112178256,2.138230875339626,20.664476915143094,0.5499176200457079,0.6666666666666666,0.630694018158666,Pt-rich,,,,,,,,,Pt-rich region
317,126.9929169482858,897.9586260135083,1.446256796429236,10.226387400118892,Pt-like,5434.0,150.0,0.0,1.1129544290834614,2.141944933273236,19.797283753765097,0.4691461998319944,0.6666666666666666,0.6249967484309693,ordered-intermetallic,-21.0,29.0,0.0,0.4016504604289508,Pt-rich projected column,0.9806862411390446,0.9806862411390446,Pt-rich projected column,Pt-rich projected column
318,900.5716598581477,828.4291511330657,10.256145894119374,9.434552091391044,Pt-like,5267.0,165.0,0.0,1.0799671929464836,2.14209969549562,20.54278226181576,0.4713514751889016,0.6666666666666666,0.6276146794252682,liquid-metal,,,,,,,,,amorphous liquid-metal
319,935.2628733054728,878.8315494922111,10.65122622167026,10.008558996145675,LM-like,4322.0,140.0,0.0,0.8841157819371995,2.1444113554998965,19.51365816054577,0.529577491716801,0.8,0.6371849381461947,liquid-metal,,,,,,,,,amorphous liquid-metal
320,783.546515178963,763.2064552941279,8.923406912194052,8.691764466653568,Pt-like,6270.0,175.0,0.0,1.1525735294117647,2.1515005044818234,20.4105896501047,0.468253343261498,0.6666666666666666,0.6259576526652143,ordered-intermetallic,4.0,-2.0,0.0,0.7117980062494736,Pt-rich projected column,0.9952048725626788,0.9952048725626788,Pt-rich projected column,Pt-rich projected column
321,781.4481119579046,906.5879749000364,8.8995092807904,10.324662601412069,Pt-like,5326.0,145.0,0.0,1.093297752232372,2.1573119923575743,20.05978040639476,0.4709249665232931,0.6666666666666666,0.6092484131573048,liquid-metal,,,,,,,,,amorphous liquid-metal
322,186.4306986030703,841.3755400407533,2.123163018828354,9.5819918336767,LM-like,4891.0,148.0,0.0,0.949247937894226,2.1656443875962945,20.68202725053344,0.5317412443823881,0.6666666666666666,0.6229021047659358,ordered-intermetallic,-20.0,25.0,1.0,1.629209159934056,Pt+Ga mixed projected column,0.1312357094542142,0.8687642905457857,Pt+Ga mixed projected column,Pt+Ga mixed projected column
323,149.93444025453766,932.0492421415825,1.707525966391036,10.614627834739077,Pt-like,5582.0,152.0,0.0,1.1653444676409186,2.175105218378086,20.14740910815053,0.4712242224106222,0.6666666666666666,0.616926102904667,liquid-metal,,,,,,,,,amorphous liquid-metal
324,385.5839742525823,849.5382007240262,4.391216902152747,9.674952163857451,Pt-like,5347.0,179.0,0.0,1.0961459614596143,2.1817253820058773,20.87693804553704,0.468287895520964,0.6666666666666666,0.6251663964604008,ordered-intermetallic,-11.0,17.0,0.0,2.2404752455965724,Pt-rich projected column,0.9654479480785079,0.9654479480785079,Pt-rich projected column,Pt-rich projected column
325,541.2720094106794,514.9673591686108,6.164267591757771,5.864697504665609,LM-like,4640.0,161.0,0.0,0.8833888624464541,2.1856183930400266,19.78112231259212,0.5297322903541952,0.6666666666666666,0.6014012392002446,Pt-rich,,,,,,,,,Pt-rich region
326,718.9620476752108,452.0703958863993,8.187887740608273,5.148396447822405,Pt-like,6202.0,179.0,0.0,1.0966800760355422,2.1868580928434,20.842110073426845,0.7172938698355555,0.5,0.3271900646851829,Pt-rich,,,,,,,,,Pt-rich region
327,67.77197007340371,917.7283055155168,0.7718199934408384,10.45153407782416,LM-like,4753.0,138.0,0.0,0.9712388250319284,2.191207367982512,19.84382378563491,0.5275702159438296,0.6666666666666666,0.6254288884167507,liquid-metal,,,,,,,,,amorphous liquid-metal
