atom_id,x_px,y_px,x_nm,y_nm,manual_atom_class,integrated_intensity,peak_height,local_background,local_normalized_intensity,overlay_to_peak_shift_px,nearest_neighbor_distance_px,local_pt_fraction,local_alternation_metric,smoothed_order_metric,spatial_region
759,46.762301707759526,777.737878641916,0.5325517224638769,8.857255348220509,LM-like,5321.0,156.0,0.0,0.9969086651053864,4.007962042607442,19.96768156990015,0.4827960899904094,0.6666666666666666,0.6376616567637396,liquid-metal
760,429.8573945509922,989.5999494492049,4.895424038632792,11.270043141223082,Pt-like,4958.0,146.0,0.0,1.1778120916973511,4.010116074161372,19.69635815303766,0.557880387654141,0.5,0.5561323632301292,liquid-metal
761,795.4665773393352,815.5644487622167,9.059158348790453,9.288042634919101,LM-like,4028.0,164.0,0.0,0.781832298136646,4.0193000081014425,19.71294602466056,0.527815029125733,0.6666666666666666,0.6234620433308955,ordered-intermetallic
762,362.6011565119001,746.7027829218986,4.1294774511872125,8.503812658726376,Pt-like,6171.0,189.0,0.0,1.1595264937993235,4.027541391038503,19.777743610244485,0.4699021379386086,0.6666666666666666,0.6262919107784853,ordered-intermetallic
763,138.5784980322585,914.0118735034645,1.5781990006554825,10.409209551503636,LM-like,4728.0,145.0,0.0,0.9813200498132005,4.033172053602138,19.797283753765097,0.5308795036264816,0.6666666666666666,0.6225065228120776,ordered-intermetallic
764,736.9225907469804,765.513824217453,8.392431097114406,8.718041900603586,Pt-like,5430.5,174.5,4.5,1.0341839649590554,4.054027428032754,19.662371297124952,0.4717457745115159,0.6666666666666666,0.6261213375538968,ordered-intermetallic
765,949.4960902024255,614.9779290471442,10.813320983858075,7.0036662745576415,Pt-like,4347.0,161.0,0.0,0.8138925294888598,4.055492566570301,19.90388965862998,1.0,0.0,0.003788099235019513,Pt-rich
766,131.12931001478825,651.2919664193093,1.4933640424779902,7.417228106330244,Pt-like,5500.0,177.0,0.0,1.0131712259371835,4.056432856615043,18.14643572318305,0.4676052688535094,0.6666666666666666,0.6278478914141423,ordered-intermetallic
767,561.4396515244482,756.2184278566449,6.393946460279771,8.612181428339634,LM-like,4761.0,124.0,0.0,0.9137318875347855,4.057097893008067,21.136039756402802,0.5295029008895401,0.6666666666666666,0.6257728339221997,ordered-intermetallic
768,679.5076802808424,647.7505645999121,7.738562310780105,7.376896908549537,LM-like,4128.0,128.0,0.0,0.7288135593220338,4.0597533465442455,18.71670969907645,0.5353379809287386,0.6666666666666666,0.622461683377594,ordered-intermetallic
