Rank,Composition,Ga_count,In_count,Sn_count,Zn_count,Ga_pct,In_pct,Sn_pct,Zn_pct,Energy_eV_atom,Calibrated_Display_kJ_mol,N_components,Category,Optimal_Window,ElementRef_Hf_kJ_mol
140,GaIn2SnZn4,1,2,1,4,12.500000,25.000000,12.500000,50.000000,-4.798355,-42.680644,4,Quaternary,NO,-29.504664
141,Ga3Zn5,3,0,0,5,37.500000,0.000000,0.000000,62.500000,-4.797541,-42.602102,2,Contains Zn,NO,-35.460451
142,Ga2In2Zn4,2,2,0,4,25.000000,25.000000,0.000000,50.000000,-4.791371,-42.006805,3,Contains Zn,NO,-31.598108
143,In4SnZn3,0,4,1,3,0.000000,50.000000,12.500000,37.500000,-4.787466,-41.630011,3,Contains Zn,NO,-25.187008
144,GaIn4Zn3,1,4,0,3,12.500000,50.000000,0.000000,37.500000,-4.784628,-41.356154,3,Contains Zn,NO,-27.680479
145,In6Zn2,0,6,0,2,0.000000,75.000000,0.000000,25.000000,-4.775318,-40.457856,2,Contains Zn,NO,-23.515173
146,InSn2Zn5,0,1,2,5,0.000000,12.500000,25.000000,62.500000,-4.770588,-40.001492,3,Contains Zn,NO,-28.417712
147,GaInSnZn5,1,1,1,5,12.500000,12.500000,12.500000,62.500000,-4.766790,-39.635103,4,Quaternary,NO,-30.818557
148,Ga2InZn5,2,1,0,5,25.000000,12.500000,0.000000,62.500000,-4.758323,-38.818178,3,Contains Zn,NO,-32.768914
149,In3SnZn4,0,3,1,4,0.000000,37.500000,12.500000,50.000000,-4.756372,-38.629884,3,Contains Zn,NO,-26.546346
150,GaIn3Zn4,1,3,0,4,12.500000,37.500000,0.000000,50.000000,-4.753054,-38.309741,3,Contains Zn,NO,-28.993504
151,In5Zn3,0,5,0,3,0.000000,62.500000,0.000000,37.500000,-4.743818,-37.418636,2,Contains Zn,NO,-24.835339
152,Sn2Zn6,0,0,2,6,0.000000,0.000000,25.000000,75.000000,-4.741385,-37.183834,2,Contains Zn,NO,-29.959503
153,GaSnZn6,1,0,1,6,12.500000,0.000000,12.500000,75.000000,-4.731877,-36.266460,3,Contains Zn,NO,-31.809419
154,In2SnZn5,0,2,1,5,0.000000,25.000000,12.500000,62.500000,-4.725979,-35.697419,3,Contains Zn,NO,-27.973320
155,Ga2Zn6,2,0,0,6,25.000000,0.000000,0.000000,75.000000,-4.725745,-35.674860,2,Contains Zn,NO,-33.985068
156,GaIn2Zn5,1,2,0,5,12.500000,25.000000,0.000000,62.500000,-4.720479,-35.166708,3,Contains Zn,NO,-30.209948
157,In4Zn4,0,4,0,4,0.000000,50.000000,0.000000,50.000000,-4.712539,-34.400704,2,Contains Zn,NO,-26.176827
158,InSnZn6,0,1,1,6,0.000000,12.500000,12.500000,75.000000,-4.695073,-32.715439,3,Contains Zn,NO,-29.350797
159,GaInZn6,1,1,0,6,12.500000,12.500000,0.000000,75.000000,-4.687006,-31.937161,3,Contains Zn,NO,-31.339748
160,In3Zn5,0,3,0,5,0.000000,37.500000,0.000000,62.500000,-4.681313,-31.387860,2,Contains Zn,NO,-27.523429
161,SnZn7,0,0,1,7,0.000000,0.000000,12.500000,87.500000,-4.661600,-29.485782,2,Contains Zn,NO,-30.480597
162,GaZn7,1,0,0,7,12.500000,0.000000,0.000000,87.500000,-4.655093,-28.858003,2,Contains Zn,NO,-32.620065
163,In2Zn6,0,2,0,6,0.000000,25.000000,0.000000,75.000000,-4.649348,-28.303642,2,Contains Zn,NO,-28.798728
164,InZn7,0,1,0,7,0.000000,12.500000,0.000000,87.500000,-4.616602,-25.144225,2,Contains Zn,NO,-29.998673
165,Zn8 Pt3Zn,0,0,0,8,0.000000,0.000000,0.000000,100.000000,-4.584462,-22.043178,1,Pure Pt3Zn,NO,-31.257088
